,X,pop_id,source,latitude,longitude,elevation_m,n_years,first_year,last_year,elev_factor,cell
1,1,nwp_10,nestwatch,42.98561479,-71.36462138,99,15,2010,2024,0,595
2,2,nwp_100,nestwatch,41.63472782,-82.83021351,175,15,2004,2024,0,619
3,3,nwp_105,nestwatch,39.3705099,-106.0184609,3770,14,2008,2021,6,558
4,4,nwp_107,nestwatch,38.80143513,-104.8578212,1950,16,2008,2024,3,558
5,5,nwp_111,nestwatch,40.91693064,-89.03628476,226,15,2010,2024,0,618
6,6,nwp_114,nestwatch,40.0071331,-75.41084461,130,16,2009,2024,0,649
7,7,nwp_116,nestwatch,39.43411849,-76.75865949,171,16,2008,2024,0,649
8,8,nwp_117,nestwatch,37.37453709,-108.5247815,1916,10,2015,2024,3,557
9,9,nwp_124,nestwatch,39.40110359,-77.28017693,139,13,2012,2024,0,648
10,10,nwp_129,nestwatch,40.187254,-82.975472,281,25,1997,2021,0,647
11,11,nwp_130,nestwatch,40.167123,-82.83326,303,23,1977,1999,0,647
12,12,nwp_131,nestwatch,40.2363239,-82.98265863,278,10,1997,2024,0,647
13,13,nwp_132,nestwatch,41.68343961,-70.06048413,12,14,2011,2024,0,736
14,14,nwp_135,nestwatch,40.31571077,-82.94984856,288,17,1998,2023,0,647
15,15,nwp_14,nestwatch,39.19062376,-104.8843834,2127,22,2001,2024,4,558
16,16,nwp_146,nestwatch,45.84092723,-99.26551645,588,9,2016,2024,1,505
17,17,nwp_147,nestwatch,42.63147996,-70.92074132,25,15,2009,2024,0,595
18,18,nwp_152,nestwatch,36.02661029,-84.22603755,292,12,2001,2024,0,674
19,19,nwp_153,nestwatch,39.52329158,-105.0931362,1676,10,2014,2024,3,558
20,20,nwp_154,nestwatch,40.674042,-75.8353793,195,8,2015,2024,0,649
21,21,nwp_156,nestwatch,41.94831026,-87.9899467,215,16,2000,2015,0,618
22,22,nwp_16,nestwatch,39.34224784,-104.7197973,1980,20,2005,2024,3,558
23,23,nwp_161,nestwatch,40.74993726,-73.4466725,37,10,2015,2024,0,622
24,24,nwp_167,nestwatch,44.73666655,-93.47983635,281,12,2013,2024,0,534
25,25,nwp_179,nestwatch,42.25490622,-71.335471,61,10,2014,2024,0,595
26,26,nwp_18,nestwatch,40.17180171,-83.08576294,281,41,1984,2024,0,647
27,27,nwp_19,nestwatch,41.41142326,-82.07839849,206,13,2012,2024,0,620
28,28,nwp_2,nestwatch,42.92961802,-83.18858839,306,24,1999,2024,0,592
29,29,nwp_20,nestwatch,39.39332564,-104.8605879,1910,18,2006,2024,3,558
30,30,nwp_21,nestwatch,39.4965688,-76.6874306,154,15,2010,2024,0,649
31,31,nwp_22,nestwatch,42.77579088,-83.39078615,327,20,2005,2024,0,592
32,32,nwp_24,nestwatch,40.39062736,-83.06260583,285,45,1979,2024,0,647
33,33,nwp_28,nestwatch,40.28207738,-76.23180323,201,28,1997,2024,0,649
34,34,nwp_3,nestwatch,51.06000534,-114.6416578,1333,11,2014,2024,2,392
35,35,nwp_30,nestwatch,42.05835976,-73.35807316,227,21,1998,2019,0,622
36,36,nwp_34,nestwatch,58.35394072,-134.5210465,-24,9,2016,2024,0,226
37,37,nwp_36,nestwatch,48.01027167,-116.7825698,721,14,2000,2015,1,419
38,38,nwp_37,nestwatch,43.61086404,-88.68067289,265,19,2002,2024,0,563
39,39,nwp_38,nestwatch,40.1064529,-75.23089098,71,12,2013,2024,0,649
40,40,nwp_4,nestwatch,40.05134161,-87.94227209,202,11,1999,2012,0,618
41,41,nwp_40,nestwatch,43.2649822,-86.0366182,210,12,2013,2024,0,591
42,42,nwp_44,nestwatch,41.29578037,-82.14856662,234,13,2012,2024,0,620
43,43,nwp_47,nestwatch,43.12029592,-75.79147729,127,10,2000,2013,0,594
44,44,nwp_50,nestwatch,42.35635652,-85.58286678,252,17,2001,2022,0,591
45,45,nwp_51,nestwatch,40.70553378,-74.50731831,76,16,2001,2016,0,622
46,46,nwp_52,nestwatch,41.88322016,-69.99425207,13,19,1999,2024,0,736
47,47,nwp_6,nestwatch,41.30162997,-82.21389412,247,12,2012,2024,0,620
48,48,nwp_62,nestwatch,40.75440166,-89.09899326,215,16,2009,2024,0,618
49,49,nwp_63,nestwatch,39.78498108,-88.94322438,208,12,2013,2024,0,618
50,50,nwp_64,nestwatch,41.6115167,-81.3027377,296,21,1998,2024,0,620
51,51,nwp_7,nestwatch,51.74875091,-114.2420234,1037,9,2004,2012,2,393
52,52,nwp_70,nestwatch,39.06227692,-78.06282223,183,20,2004,2024,0,648
53,53,nwp_71,nestwatch,39.06403597,-79.42613787,969,20,1998,2024,1,648
54,54,nwp_72,nestwatch,43.58789239,-88.61742457,261,22,2002,2024,0,590
55,55,nwp_73,nestwatch,41.05334772,-72.30141777,-2,21,2004,2024,0,622
56,56,nwp_75,nestwatch,40.69242369,-81.32563841,326,8,2017,2024,0,647
57,57,nwp_78,nestwatch,41.13829414,-82.23153993,271,13,2012,2024,0,620
58,58,nwp_80,nestwatch,41.27128578,-82.07124908,245,13,1997,2024,0,620
59,59,nwp_81,nestwatch,42.75629748,-83.30072868,306,20,2005,2024,0,592
60,60,nwp_87,nestwatch,41.83679497,-88.17516536,225,16,2000,2015,0,618
61,61,nwp_89,nestwatch,40.342005,-83.1117347,292,16,2009,2024,0,647
62,62,nwp_90,nestwatch,39.46079347,-108.0084642,1613,8,2006,2015,3,557
63,63,nwp_91,nestwatch,40.70754058,-111.4704691,2037,14,2011,2024,4,529
64,64,nwp_96,nestwatch,37.17887332,-121.7576635,168,19,2006,2024,0,498
65,65,tsp_001_B,contribution,44.640935,-76.333622,125,5,1996,2000,0,594
66,66,tsp_001_C,contribution,44.58796616,-76.29710636,129,28,1981,2014,0,594
67,67,tsp_001_D,contribution,44.57683919,-76.38701472,143,11,2014,2024,0,594
68,68,tsp_001_E,contribution,44.55684521,-76.34353495,135,19,1981,2008,0,594
69,69,tsp_001_F,contribution,44.52332428,-76.37987679,143,49,1975,2024,0,594
70,70,tsp_002_,contribution,40.73670288,-75.24076183,110,9,2016,2024,0,649
71,71,tsp_003_,contribution,35.89659538,-83.95615628,268,5,2020,2024,0,674
72,72,tsp_004_A,contribution,43.38711806,-88.02321068,270,25,1997,2023,0,591
73,73,tsp_005_D,contribution,45.32287509,-72.68703285,122,19,2004,2022,0,567
74,74,tsp_005_EE,contribution,45.58425799,-72.72722477,50,19,2004,2022,0,567
75,75,tsp_005_FF,contribution,45.63347131,-73.21999976,11,19,2004,2022,0,567
76,76,tsp_005_J,contribution,45.3008436,-72.58969998,173,19,2004,2022,0,567
77,77,tsp_005_O,contribution,45.55424895,-72.580648,111,19,2004,2022,0,567
78,78,tsp_005_W,contribution,45.52507038,-72.06704999,270,19,2004,2022,0,567
79,79,tsp_006_A,contribution,44.58207127,-66.75584635,-2,30,1987,2024,0,738
80,80,tsp_007_A,contribution,47.32665568,-95.22179335,447,9,2016,2024,0,506
81,81,tsp_007_B,contribution,47.2551641,-95.21359537,456,10,2015,2024,0,506
82,82,tsp_008_A,contribution,42.959079,-85.898827,204,26,1993,2018,0,591
83,83,tsp_009_A,contribution,42.08690096,-93.61079097,298,21,2004,2024,0,589
84,84,tsp_010_A,contribution,44.6447387,-123.2495265,183,2,2010,2015,0,417
85,85,tsp_010_B,contribution,44.5837236,-123.3328666,171,8,2010,2017,0,417
86,86,tsp_011_A,contribution,53.84328931,-123.0440967,693,23,2002,2024,1,309
87,87,tsp_011_B,contribution,53.811721,-122.872274,733,15,2008,2024,1,336
88,88,tsp_011_C,contribution,53.757442,-122.551311,696,20,2001,2024,1,336
89,89,tsp_012_A,contribution,38.52342282,-121.7493378,13,10,2015,2024,0,471
90,90,tsp_012_B,contribution,38.51767202,-121.975159,42,9,2015,2024,0,471
91,91,tsp_013_A,contribution,45.1,-64.4,27,24,2000,2024,0,739
92,92,tsp_014_A,contribution,41.18412178,-105.719721,2207,7,2017,2024,4,558
93,93,tsp_016_A,contribution,39.94054304,-75.62032063,95,1,2024,2024,0,649
94,94,tsp_017_A,contribution,42.36271,-72.51084,65,9,2014,2024,0,595
95,95,tsp_018_A,contribution,33.490556,-80.348333,24,7,2017,2024,0,730
96,96,tsp_018_B,contribution,35.43493438,-80.96026822,229,16,2004,2023,0,702
97,97,tsp_018_C,contribution,35.5270786,-80.87884204,238,26,1999,2024,0,702
98,98,tsp_018_D,contribution,35.49512622,-80.80470853,226,19,2006,2024,0,702
99,99,tsp_018_E,contribution,35.41459726,-80.78808144,220,18,2007,2024,0,702
100,100,tsp_018_F,contribution,35.438056,-80.696389,208,17,2008,2024,0,702
101,101,tsp_019_A,contribution,64.85630071,-147.860647,163,10,2015,2024,0,116
102,102,tsp_019_B,contribution,64.86445993,-147.7334763,128,10,2015,2024,0,116
103,103,tsp_020_A,contribution,52.21242449,-106.0899984,558,32,1991,2024,1,422
104,104,tsp_020_D,contribution,51.90755721,-106.3541754,527,5,2020,2024,1,422
105,105,tsp_020_F,contribution,51.65678642,-106.6206692,529,5,2020,2024,1,422
106,106,tsp_020_G,contribution,51.64423961,-106.4643526,580,2,2020,2021,1,422
107,107,tsp_020_H,contribution,51.5607861,-106.2859827,633,5,2020,2024,1,422
108,108,tsp_021_A,contribution,33.66236815,-117.8439416,14,25,2000,2024,0,553
109,109,tsp_022_A,contribution,42.50386919,-76.45289314,359,39,1986,2024,0,621
110,110,tsp_022_B,contribution,42.45054596,-76.43571429,346,23,1993,2024,0,621
111,111,tsp_022_C,contribution,42.46322941,-76.36796894,423,34,1991,2024,0,621
112,112,tsp_022_D,contribution,42.42387648,-76.23230251,441,16,2001,2016,0,621
113,113,tsp_022_F,contribution,42.342298,-76.572405,338,1,2017,2017,0,621
114,114,tsp_023_A,contribution,44.5,-107.3,3123,1,2018,2018,6,503
115,115,tsp_024_A,contribution,61.43312319,-142.9264667,469,7,2015,2021,0,143
116,116,tsp_024_B,contribution,61.38020898,-143.3075356,494,4,2014,2017,0,143
117,117,tsp_025_A,contribution,35.09562199,-85.24556701,214,10,2015,2024,0,701
118,118,tsp_025_B,contribution,35.06180124,-85.15535404,223,10,2015,2024,0,701
119,119,tsp_026_A,contribution,39.1420042,-86.39811936,200,10,2015,2024,0,646
120,120,tsp_026_D,contribution,39.21667299,-86.54023749,201,3,2015,2017,0,646
121,121,tsp_027_A,contribution,42.64011763,-80.45869323,195,11,2013,2024,0,620
122,122,tsp_027_B,contribution,42.547126,-80.060813,172,11,2013,2024,0,620
123,123,tsp_030_A,contribution,40.569019,-105.591812,2853,2,2022,2023,5,558
124,124,tsp_028_A,contribution,41.61,-81.303,305,59,1966,2024,0,620